Name,Year,Group,Status,Birth Date,Birth Place,Birth Place Copy,latitue,logtitude,Gender,Alma Mater,Undergraduate Major,Graduate Major,Military Rank,Military Branch,Space Flights,Space Flight (hr),Space Walks,Space Walks (hr),Missions,Death Date,Death Mission
Michael A. Baker,1985,11,Management,10/27/1953,"Memphis, TN",Memphis,35.1174,-89.9711,Male,University of Texas,Aerospace Engineering,,Captain,US Navy (Retired),4,965,0,0,"STS-43 (Atlantis), STS-52 (Columbia), STS-68 (Endeavor), STS-81 (Atlantis)",,
John S. Bull,1966,5,Deceased,9/25/1934,"Memphis, TN",Memphis,35.1174,-89.9711,Male,Rice University; Stanford University,Mechanical Engineering,Aeronautical Engineering,,,0,0,0,0,,8/11/2008,
Eric A. Boe,2000,18,Active,10/1/1964,"Miami, FL",Miami,25.7751,-80.1947,Male,US Air Force Academy; Georgia Institute of Technology,Aeronautical Engineering,Electrical Engineering,Colonel,US Air Force,2,687,0,0,"STS-126 (Endeavor), STS-133 (Discovery)",,
William B. Lenoir,1967,6,Deceased,3/14/1939,"Miami, FL",Miami,25.7751,-80.1947,Male,MIT,Electrical Engineering,Electrical Engineering,,,1,122,0,0,STS-5 (Columbia),8/26/2012,
Bill Nelson,,,Retired,9/29/1942,"Miami, FL",Miami,25.7751,-80.1947,Male,Yale University; University of Virginia,,Law,Captain,US Army (Retired),1,146,0,0,STS 61-C (Columbia),,
Winston E. Scott,1992,14,Retired,8/6/1950,"Miami, FL",Miami,25.7751,-80.1947,Male,Florida State University; US Naval Postgraduate School,Music,Aeronautical Engineering,Captain,US Navy (Retired),2,590,3,19,"STS-72 (Endeavor), STS-87 (Columbia)",,
Don L. Lind,1966,5,Retired,5/18/1930,"Midvale, UT",Midvale,40.6139,-111.8883,Male,University of Utah; University of California-Berkley,Physics,Nuclear Physics,,,1,168,0,0,STS 51-B (Challenger),,
Leroy Chiao,1990,13,Retired,8/28/1960,"Milwaukee, WI",Milwaukee,43.05,-87.95,Male,University of California-Berkeley; University of California-Santa Barbara,Chemical Engineering,Chemical Engineering,,,4,5503,6,36,"STS-65 (Columbia), STS-72 (Endeavor), STS-92 (Discovery), ISS-10 (Soyuz)",,
Millie Hughes-Fulford,,,Retired,12/21/1945,"Mineral Wells, TX",Mineral Wells,32.8092,-98.1129,Female,Tarleton State University; Texas Woman’s University,Chemistry & Biology,,,,1,218,0,0,STS-40 (Columbia),,
Robert D. Cabana,1985,11,Management,1/23/1949,"Minneapolis, MN",Minneapolis,44.9833,-93.2667,Male,US Naval Academy,Mathematics,,Colonel,US Marine Corps (Retired),4,910,0,0,"STS-41 (Discovery), STS-53 (Discovery), STS-65 (Columbia), STS-88 (Endeavor)",,
Virgil I. Grissom,1959,1,Deceased,4/3/1926,"Mitchell, IN",Mitchell,38.7339,-86.4744,Male,Purdue University,Mechanical Engineering,,Lieutenant Colonel,US Air Force,2,5,0,0,"Mercury 4, Gemini 3, Apollo 1",1/27/1967,Apollo 1
Kathryn P. Hire,1995,15,Management,8/26/1959,"Mobile, AL",Mobile,30.6889,-88.0448,Female,US Naval Academy; Florida State Institute of Technology,Engineering Management,Space Technology,Captain,US Naval Reserves,2,711,0,0,"STS-90 (Columbia), STS-130 (Endeavor)",,
Clifton C. Williams Jr. ,1963,3,Deceased,9/26/1932,"Mobile, AL",Mobile,30.6889,-88.0448,Male,Auburn University,Mechanical Engineering,,Major,US Marine Corps,0,0,0,0,,10/5/1967,
James D. Halsell Jr. ,1990,13,Retired,9/29/1956,"Monroe, LA",Monroe,32.5008,-92.1112,Male,US Air Force Academy; Troy State University; US Air Force Institute of Technology,Engineering,Business Management; Space Operations,Colonel,US Air Force (Retired),5,1258,0,0,"STS-65 (Columbia), STS-74 (Atlantis), STS-83 (Columbia), STS-94 (Columbia), STS-101 (Atlantis)",,
Buzz Aldrin,1963,3,Retired,1/20/1930,"Montclair, NJ",Montclair,40.8244,-74.2124,Male,US Military Academy; MIT,Mechanical Engineering,Astronautics,Colonel,US Air Force (Retired),2,289,2,8,"Gemini 12, Apollo 11",,
Kathryn C. Thornton,1984,10,Retired,8/17/1952,"Montgomery, AL",Montgomery,32.3617,-86.2792,Female,Auburn University; University of Virginia,Physics,Physics,,,4,975,3,21,"STS-33 (Discovery), STS-49 (Endeavor), STS-61 (Endeavor), STS-73 (Columbia)",,
Gregory E. Chamitoff,1998,17,Active,8/6/1962,"Montreal, Canada",Montreal,45.5091,-73.5534,Male,California Polytechnic State University; California Institute of Technology; MIT,Electrical Engineering,Aeronautical Engineering; Aeronautics & Astronautics,,,2,4770,2,13,"STS-124/126 (Discovery/Endeavor), STS-134 (Endeavor)",,
Garrett E. Reisman,1998,17,Retired,2/10/1968,"Morristown, NJ",Morristown,40.7966,-74.4773,Male,University of Pennsylvania; California Institute of Technology,Economics,Mechanical  Engineering,,,2,2571,3,21,"STS-123/124 (Endeavor/Discovery), STS-132 (Atlantis)",,
Jerry M. Linenger,1992,14,Retired,1/16/1955,"Mount Clemens, MI",Mount Clemens,42.5972,-82.8781,Male,US Naval Academy; University of Southern California; University of North Carolina; Wayne State University,Bioscience,Systems Management; Public Health; Medicine; Epidemiology,Captain,US Navy (Retired),2,3435,1,5,"STS-64 (Discovery), STS-81/84 (Atlantis)",,
Richard A. Searfoss,1990,13,Retired,6/5/1956,"Mount Clemens, MI",Mount Clemens,42.5972,-82.8781,Male,US Air Force Academy; California Institute of Technology,Aeronautical Engineering,Aeronautics,Colonel,US Air Force (Retired),3,939,0,0,"STS-58 (Columbia), STS-76 (Atlantis), STS-90 (Columbia)",,
James F. Reilly II ,1995,15,Retired,3/18/1954,"Mountain Home Air Force Base, ID","Mountain Home Air Force Base, ID",43.0444129,-115.8619784,Male,University of Texas-Dallas,Geosciences,Geosciences,,,3,854,5,31,"STS-89 (Endeavor), STS-104 (Atlantis), STS-117 (Atlantis)",,
Peggy A. Whitson,1996,16,Active,2/9/1960,"Mt. Ayr, IA",Mount Ayr,40.7142,-94.2369,Female,Iowa Wesleyan College; Rice University,Chemistry & Biology,Biochemistry,,,3,11698,7,46,"STS-111/113 (Endeavor), ISS-16 (Soyuz), ISS-50/51 (Soyuz)",,
Margaret Rhea Seddon,1978,8,Retired,11/8/1947,"Murfreesboro, TN",Murfreesboro,35.8461,-86.3921,Female,University of California-Berkeley; University of Tennessee,Physiology,Medicine,,,3,722,0,0,"STS 51-D (Discovery), STS-40 (Columbia), STS-58 (Columbia)",,
Barry E. Wilmore,2000,18,Active,12/29/1962,"Murfreesboro, TN",Murfreesboro,35.8461,-86.3921,Male,Tennessee Technological University; University of Tennessee,Electrical Engineering,Electrical Engineering; Aviation Systems,Captain,US Navy,2,4272,4,25,"STS-129 (Atlantis), ISS-41/42 (Soyuz)",,
David C. Leestma,1980,9,Management,5/6/1949,"Muskegon, MI",Muskegon,43.2342,-86.2483,Male,US Naval Academy; US Naval Postgraduate School,Aeronautical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),3,532,1,3,"STS 41-G (Challenger), STS-28 (Columbia), STS-45 (Atlantis)",,
Russell L. Schweickart,1963,3,Retired,10/25/1935,"Neptune, NJ",Neptune City,40.2002,-74.0336,Male,MIT,Aeronautics & Astronautics,Aeronautics & Astronautics,,,1,241,1,1,Apollo 9,,
James F. Buchli,1978,8,Retired,6/20/1945,"New Rockford, ND",New Rockford,47.6811,-99.1257,Male,US Naval Academy; University of West Florida,Aeronautical Engineering,Aeronautical Engineering Systems,Colonel,US Marine Corps (Retired),4,490,0,0,"STS 51-C (Discovery), STS 61-A (Challenger), STS-29 (Discovery), STS-48 (Discovery",,
Karol J. Bobko,1969,7,Retired,12/23/1937,"New York, NY",New York City,40.713,-74.0072,Male,US Air Force Academy; University of Southern California,,Aerospace Engineering,Colonel,US Air Force (Retired),3,386,0,0,"STS-6 (Challenger), STS 51-D (Discovery), STS-51-J (Atlantis)",,
Jay Clark Buckey,,,Retired,6/6/1956,"New York, NY",New York City,40.713,-74.0072,Male,Cornell University,Electrical Engineering,Medicine,,,1,381,0,0,STS-90 (Columbia),,
Anna L. Fisher,1978,8,Management,8/24/1949,"New York, NY",New York City,40.713,-74.0072,Female,University of California-Los Angeles,Chemistry,Chemistry; Medicine,,,1,191,0,0,STS 51-A (Discovery),,
Ronald J. Grabe,1980,9,Retired,6/13/1945,"New York, NY",New York City,40.713,-74.0072,Male,US Air Force Academy,Engineering Science,,Colonel,US Air Force (Retired),4,627,0,0,"STS 51-J (Atlantis), STS-30 (Atlantis), STS-42 (Discovery), STS-57 (Endeavor)",,
Kevin R. Kregel,1992,14,Retired,9/16/1956,"New York, NY",New York City,40.713,-74.0072,Male,US Air Force Academy; Troy State University,Astronautical Engineering,Public Administration,,,4,1265,0,0,"STS-70 (Discovery), STS-78 (Columbia), STS-87 (Columbia), STS-99 (Endeavor)",,
Bruce E. Melnick,1987,12,Retired,12/5/1949,"New York, NY",New York City,40.713,-74.0072,Male,US Coast Guard Academy; West Florida University,Engineering,Aeronautical Systems,Commander,US Coast Guard (Retired),2,311,0,0,"STS-41 (Discovery), STS-49 (Endeavor)",,
Robert A. Parker,1967,6,Retired,12/14/1936,"New York, NY",New York City,40.713,-74.0072,Male,Amherst College; California Institute of Technology,Physics & Astronomy,Astronomy,,,2,462,0,0,"STS-9 (Columbia), STS-35 (Columbia)",,
Duane E. Graveline,1965,4,Retired,3/2/1931,"Newport, VT",Newport,44.9442,-72.2044,Male,University of Vermont; Johns Hopkins University,,Public Health; Medicine,,,0,0,0,0,,,
Peter J. K. Wisoff,1990,13,Retired,8/16/1958,"Norfolk, VA",Norfolk,36.8507689,-76.285872,Male,University of Virginia; Stanford University,Physics,Applied Physics,,,4,1064,3,20,"STS-57 (Endeavor), STS-68 (Endeavor), STS-81 (Atlantis), STS-92 (Discovery)",,
John D. Olivas,1998,17,Retired,5/25/1966,"North Hollywood, CA",North Hollywood,34.1722,-118.3781,Male,University of Texas-El Paso; University of Houston; Rice University,Mechanical Engineering,Mechanical  Engineering; Mechanical  Engineering & Materials Science,,,2,665,5,34,"STS-117 (Atlantis), STS-128 (Discovery)",,
Niclolas J. M. Patrick,1998,17,Retired,3/22/1964,"North Yorkshire, England",North Yorkshire,53.9915028,-1.5412015,Male,University of Cambridge; MIT,Engineering,Engineering; Mechanical Engineering,,,2,638,3,18,"STS-116 (Discovery), STS-130 (Endeavor)",,
Daniel T. Barry,1992,14,Retired,12/30/1953,"Norwalk, CT",Norwalk,41.0939,-73.4197,Male,Cornell University; Princeton University; University of Miami,Electrical Engineering,Electrical Engineering; Computer Science; Medicine,,,3,733,4,26,"STS-72 (Endeavor), STS-96 (Discovery), STS-105 (Discovery)",,
Lee J. Archambault,1998,17,Retired,8/25/1960,"Oak Park, IL",Oak Park,41.8833,-87.8,Male,University of Illinois-Urbana,Aeronautical & Astronautical Engineering,Aeronautical & Astronautical Engineering,Colonel,US Air Force,2,639,0,0,"STS-117 (Atlantis), STS-119 (Discovery)",,
Joseph P. Kerwin,1965,4,Retired,2/19/1932,"Oak Park, IL",Oak Park,41.8833,-87.8,Male,College of the Holy Cross; Northwestern University,Philosophy,Medicine,Captain,US Navy (Retired),1,672,1,3,Skylab 2,,
William M. Shepherd,1984,10,Retired,7/26/1949,"Oak Ridge, TN",Oak Ridge,36.0133,-84.2625,Male,US Naval Academy; MIT,Aerospace Engineering,Mechanical  Engineering,Captain,US Navy (Retired),4,3823,0,0,"STS-37 (Atlantis), STS-41 (Discovery), STS-52 (Columbia), ISS-01/STS-102 (Soyuz/Discovery)",,
Michael J. Massimino,1996,16,Management,8/19/1962,"Oceanside, NY",Oceanside,40.6364,-73.6375,Male,Columbia University; MIT,Industrial Engineering,Technology & Policy; Mechanical Engineering,,,2,571,4,30,"STS-109 (Columbia), STS-125 (Atlantis)",,
William R. Pogue,1966,5,Retired,1/23/1930,"Okemah, OK",Okemah,35.4315,-96.2997,Male,Oklahoma Baptist University; Oklahoma State University,Education,Mathematics,Colonel,US Air Force (Retired),1,2017,2,13,Skylab 4,,
Clayton C. Anderson,1998,17,Retired,2/23/1959,"Omaha, NE",Omaha,41.25,-96,Male,Hastings College; Iowa State University,Physics,Aerospace Engineering,,,2,4005,6,38,"STS-117/120 (Atlantis/Discovery), STS-131 (Discovery)",,
Bryan D. O'Connor,1980,9,Retired,9/6/1946,"Orange, CA",Orange,33.8031,-117.8325,Male,US Naval Academy; West Florida University,Engineering,Aeronautical Systems,Colonel,US Marine Corps (Retired),2,383,0,0,"STS 61-B (Atlantis), STS-40 (Columbia)",,
Mark E. Kelly,1996,16,Retired,2/21/1964,"Orange, NJ",Orange,40.768,-74.2357,Male,US Merchant Marine Academy; US Naval Postgraduate School,Marine Engineering & Nautical Science,Aeronautical Engineering,Captain,US Navy (Retired),4,1298,0,0,"STS-108 (Endeavor), STS-121 (Discovery), STS-124 (Discovery), STS-134 (Endeavor)",,
Scott J. Kelly,1996,16,Active,2/21/1964,"Orange, NJ",Orange,40.768,-74.2357,Male,State University of New York Maritime College; University of Tennessee-Knoxville,Electrical Engineering,Aviation Systems,Captain,US Navy (Retired),4,12490,3,18,"STS-103 (Discovery), STS-118 (Endeavor), ISS-25/26 (Soyuz), ISS-43/44/45/46 (Soyuz)",,
John O. Creighton,1978,8,Retired,4/28/1943,"Orange, TX",Orange,30.1092,-93.7592,Male,US Naval Academy; George Washington University,,Science & Technology Administration,Captain,US Navy (Retired),3,404,0,0,"STS 51-G (Discovery), STS-36 (Atlantis), STS-48 (Discovery)",,
Steven A. Hawley,1978,8,Retired,12/12/1951,"Ottawa, KS",Ottawa,38.6119,-95.2664,Male,University of Kansas; University of California,Physics & Astronomy,Astronomy & Astrophysics,,,5,770,0,0,"STS 41-D (Discovery), STS 61-C (Columbia), STS-31 (Discovery), STS-82 (Discovery), STS-93 (Columbia)",,
Pamela A. Melroy,1995,15,Retired,9/17/1961,"Palo Alto, CA",Palo Alto,37.4292,-122.1381,Female,Wellesley College; MIT,Physics & Astronomy,Earth & Planetary Sciences,Colonel,US Air Force (Retired),3,914,0,0,"STS-92 (Discovery), STS-112 (Atlantis), STS-120 (Discovery)",,
Karen L. Nyberg,2000,18,Active,10/7/1969,"Parker’s Prairie, MN",Parkers Prairie,46.15,-95.3333,Female,University of North Dakota; University of Texas,Mechanical Engineering,Mechanical Engineering,,,2,4320,0,0,"STS-124 (Discovery), ISS-36/37 (Soyuz)",,
Michael T. Good,2000,18,Management,10/13/1962,"Parma, OH",Parma,41.3919,-81.7286,Male,University of Notre Dame,Aerospace Engineering,Aerospace Engineering,Colonel,US Air Force (Retired),2,592,4,30,"STS-125 (Atlantis), STS-132 (Atlantis)",,
Alan G. Poindexter,1998,17,Deceased,11/5/1961,"Pasadena, CA",Pasadena,34.1561,-118.1319,Male,Georgia Institute of Technology; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy,2,669,0,0,"STS-122 (Atlantis), STS-131 (Discovery)",7/1/2012,
Mark L. Polansky,1996,16,Retired,6/2/1956,"Paterson, NJ",Paterson,40.9147,-74.1628,Male,Purdue University,Aeronautical & Astronautical Engineering,Aeronautical & Astronautical Engineering,,,3,995,0,0,"STS-98 (Atlantis), ST-116 (Discovery), STS-127 (Endeavor)",,
Kathryn D. Sullivan,1978,8,Retired,10/3/1951,"Patterson, NJ",Paterson,40.9147,-74.1628,Female,University of California-Santa Cruz; Dalhousie University,Earth Sciences,Earth Sciences; Geology,,,3,532,1,3,"STS 41-G (Challenger), STS-31 (Discovery), STS-45 (Atlantis)",,
Kenneth S. Reightler Jr. ,1987,12,Retired,3/24/1951,"Patuxent River, MD","Patuxent River, MD",38.7343744,-76.6982889,Male,US Naval Academy; US Naval Postgraduate School; University of Southern California,Aerospace Engineering,Aeronautical Engineering; Systems Management,Captain,US Navy (Retired),2,327,0,0,"STS-48 (Discovery), STS-60 (Discovery)",,
Andrew M. Allen,1987,12,Retired,8/4/1955,"Philadelphia, PA",Philadelphia,39.95,-75.1667,Male,Villanova University; University of Florida,Mechanical Engineering,Business Administration,Lieutenant Colonel,US Marine Corps (Retired),3,906,0,0,"STS-46 (Atlantis), STS-62 (Columbia), STS-75 (Columbia)",,
James P. Bagian,1980,9,Retired,2/22/1952,"Philadelphia, PA",Philadelphia,39.95,-75.1667,Male,Drexel University; Thomas Jefferson University,Mechanical Engineering,Medicine,,,2,337,0,0,"STS-29 (Discovery), STS-40 (Columbia)",,
Guion S. Bluford Jr. ,1978,8,Retired,11/22/1942,"Philadelphia, PA",Philadelphia,39.95,-75.1667,Male,Pennsylvania State University; Air Force Institute of Technology; University of Houston-Clear Lake,Aerospace Engineering,Aerospace Engineering; Business Administration,Colonel,US Air Force (Retired),4,689,0,0,"STS-8 (Challenger), STS 61-A (Challenger), STS-39 (Discovery), STS-53 (Discovery)",,
Charles Conrad Jr. ,1962,2,Deceased,5/2/1930,"Philadelphia, PA",Philadelphia,39.95,-75.1667,Male,Princeton University,Aeronautical Engineering,,Captain,US Navy (Retired),4,1179,4,12,"Gemini 5, Gemini 11, Apollo 12, Skylab 2",7/8/1999,
Christopher J. Ferguson,1998,17,Retired,9/1/1961,"Philadelphia, PA",Philadelphia,39.95,-75.1667,Male,Drexel University; US Naval Postgraduate School,Mechanical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),3,970,0,0,"STS-115 (Atlantis), STS-126 (Endeavor), STS-135 (Atlantis)",,
Scott J. Horowitz,1992,14,Retired,3/24/1957,"Philadelphia, PA",Philadelphia,39.95,-75.1667,Male,California State University-Northridge; Georgia Institute of Technology,Engineering,Aerospace Engineering,Colonel,US Air Force (Retired),4,1137,0,0,"STS-75 (Columbia), STS-82 (Discovery), STS-101 (Atlantis), STS-105 (Discovery)",,
Steven L. Smith,1992,14,Management,12/30/1958,"Phoenix, AZ",Phoenix,33.45,-112.0667,Male,Stanford University,Electrical Engineering,Electrical Engineering,,,4,960,7,49,"STS-68 (Endeavor), STS-82 (Discovery), STS-103 (Discovery), STS-110 (Atlantis)",,
Charles E. Brady Jr. ,1992,14,Deceased,8/12/1951,"Pinehurst, NC",Pinehurst,35.1961,-79.4642,Male,University of North Carolina at Chapel Hill; Duke University,,Medicine,Captain,US Navy,1,405,0,0,STS-78 (Columbia),7/23/2006,
E. Michael Fincke,1996,16,Active,3/14/1967,"Pittsburgh, PA",Pittsburgh,40.4422,-79.995,Male,MIT; Stanford University; University of Houston-Clear Lake,"Aeronautics & Astronautics; Earth, Atmospheric & Planetary Sciences",Aeronautics & Astronautics; Physical Sciences,Colonel,US Air Force,3,9159,9,48,"ISS-09 (Soyuz), ISS-18 (Soyuz), STS-134 (Endeavor)",,
Stephen N. Frick,1996,16,Management,9/30/1961,"Pittsburgh, PA",Pittsburgh,40.4422,-79.995,Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy (Retired),2,566,0,0,"STS-110 (Atlantis), STS-122 (Atlantis)",,
Terry J. Hart,1978,8,Retired,10/27/1946,"Pittsburgh, PA",Pittsburgh,40.4422,-79.995,Male,Lehigh University; MIT; Rutgers University,Mechanical Engineering,Mechanical Engineering; Electrical Engineering,,,1,167,0,0,STS 41-C (Challenger),,
James B. Irwin,1966,5,Deceased,3/17/1930,"Pittsburgh, PA",Pittsburgh,40.4422,-79.995,Male,US Naval Academy; University of Michigan,Naval Sciences,Aeronautical Engineering,Colonel,US Air Force (Retired),1,295,3,20,Apollo 15,8/8/1991,
Kenneth T. Ham,1998,17,Retired,12/12/1964,"Plainfield, NJ",Plainfield,40.615,-74.4173,Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy,2,612,0,0,"STS-124 (Discovery), STS-132 (Atlantis)",,
Michael P. Anderson,1995,15,Deceased,12/25/1959,"Plattsburgh, NY",Plattsburgh,44.6953,-73.4583,Male,University of Washington; Creighton University,Physics & Astronomy,Physics,Lieutenant Colonel,US Air Force,2,594,0,0,"STS-89 (Endeavor), STS-107 (Columbia)",2/1/2003,STS-107 (Columbia)
Brent W. Jett,1992,14,Retired,10/5/1958,"Pontiac, MI",Pontiac,42.6388,-83.2927,Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy (Retired),4,1002,0,0,"STS-72 (Endeavor), STS-81 (Atlantis), STS-97 (Endeavor), STS-115 (Atlantis)",,
Kevin A. Ford,2000,18,Active,7/7/1960,"Portland, IN",Portland,40.4339,-84.98,Male,University of Notre Dame; Troy State University; University of Florida; Air Force Institute of Technology,Aerospace Engineering,International Relations; Aerospace Engineering; Astronautical Engineering,Colonel,US Air Force (Retired),2,3781,0,0,"STS-128 (Discovery), ISS-33/34 (Soyuz)",,
S. David Griggs,1978,8,Deceased,9/7/1939,"Portland, OR",Portland,45.52,-122.6819,Male,US Naval Academy; George Washington University,,Business Administration,,,1,167,1,3,STS 51-D (Discovery),6/17/1989,
Kenneth D. Bowersox,1987,12,Retired,11/14/1956,"Portsmouth, VA",Portsmouth,36.8354258,-76.2982742,Male,US Naval Academy; Columbia University,Aerospace Engineering,Mechanical Engineering,Captain,US Navy (Retired),5,5078,2,13,"STS-50 (Columbia), STS-61 (Endeavor), STS-73 (Columbia), STS-82 (Discovery), STS-113 (Endeavor/Soyuz)",,
Edward G. Givens Jr. ,1966,5,Deceased,1/5/1930,"Quanah, TX",Quanah,34.2956,-99.7419,Male,US Naval Academy,Naval Sciences,,Major,US Air Force,0,0,0,0,,6/6/1967,
Charles J. Camarda,1996,16,Management,5/8/1952,"Queens, NY",Queens,40.75,-73.8667,Male,Polytechnic Institute of Brooklyn; George Washington University; Virginia Polytechnic Institute,Aerospace Engineering,Engineering Science; Aerospace Engineering,,,1,333,0,0,STS-114 (Discovery),,
William F. Readdy,1987,12,Retired,1/24/1952,"Quonset Point, RI","Quonset Point, RI",41.5901015,-71.4042218,Male,US Naval Academy,Aerospace Engineering,,Captain,US Navy (Retired),3,672,0,0,"STS-42 (Discovery), STS-51 (Discovery), STS-79 (Atlantis)",,
Rex J. Walheim,1996,16,Active,10/10/1962,"Redwood, CA",Spruce Hill,38.3667,-122.4267,Male,University of California-Berkeley; University of Houston,Mechanical Engineering,Industrial Engineering,Colonel,US Air Force (Retired),3,872,5,36,"STS-110 (Atlantis), STS-122 (Atlantis), STS-135 (Atlantis)",,
Jake Garn,,,Retired,10/12/1932,Richfield. UT,Richfield,38.7658,-112.0875,Male,University of Utah,Business Finance,,,,1,167,0,0,STS 51-D (Discovery),,
Joe F. Edwards Jr. ,1995,15,Retired,2/3/1958,"Richmond, VA",Richmond,37.5408,-77.4339,Male,US Naval Academy; University of Tennessee-Knoxville,Aerospace Engineering,Aviation Systems,Commander,US Navy (Retired),1,211,0,0,STS-89 (Endeavor),,
Daniel M. Tani,1996,16,Retired,2/1/1961,"Ridley Park, PA",Ridley Park,39.8797,-75.3256,Male,MIT,Mechanical Engineering,Mechanical Engineering,,,2,3162,6,39,"STS-108 (Endeavor), STS-120/122 (Discovery/Atlantis)",,
C. Gordon Fullerton,1969,7,Retired,10/11/1936,"Rochester, NY",Rochester,43.1656,-77.6114,Male,California Institute of Technology,Mechanical Engineering,Mechanical Engineering,Colonel,US Air Force (Retired),2,382,0,0,"STS-3 (Columbia), STS 51-F (Challenger)",,
Gary E. Payton,,,Retired,6/20/1948,"Rock Island, IL",Rock Island,41.4892,-90.5731,Male,US Air Force Academy; Purdue University,Astronautical Engineering,Astronautical & Aeronautical Engineering,Major,US Air Force,1,73,0,0,STS 51-C (Discovery),,
Michael Collins,1963,3,Retired,10/31/1930,"Rome, Italy",Rome,41.8906,12.4943,Male,US Military Academy,,,,US Air Force Reserves,2,266,1,1,"Gemini 10, Apollo 11",,
Terrence W. Wilcutt,1990,13,Management,10/31/1949,"Russellville, KY",Russellville,36.8454,-86.8875,Male,Western Kentucky University,Mathematics,,,,4,1008,0,0,"STS-68 (Endeavor), STS-79 (Atlantis), STS-89 (Endeavor), STS-106 (Atlantis)",,
Michael L. Coats,1978,8,Retired,1/16/1946,"Sacramento, CA",Sacramento,38.5556,-121.4689,Male,US Naval Academy; George Washington University; US Naval Postgraduate School,,Science & Technology Administration; Aeronautical Engineering,Captain,US Navy (Retired),3,463,0,0,"STS 41-D (Discovery), STS-29 (Discovery), STS-39 (Discovery)",,
Stephen K. Robinson,1995,15,Retired,10/26/1955,"Sacramento, CA",Sacramento,38.5556,-121.4689,Male,University of California-Davis; Stanford University,Mechanical & Aeronautical Engineering,Mechanical  Engineering,,,4,1162,3,20,"STS-85 (Discovery), STS-95 (Discovery), STS-114 (Discovery), STS-130 (Endeavor)",,
Christopher J. Cassidy,2004,19,Active,1/4/1970,"Salem, MA",Salem,42.5214,-70.8986,Male,US Naval Academy; MIT,Mathematics,Ocean Engineering,Commander,US Navy,1,4376,6,31,STS-127 (Endeavor); ISS-35/36 (Soyuz),,
John E. Blaha,1980,9,Retired,8/26/1942,"San Antonio, TX",San Antonio,29.4167,-98.5,Male,US Air Force Academy; Purdue University,Engineering Science,Astronautical Engineering,Colonel,US Air Force (Retired),5,3861,0,0,"STS-29 (Discovery), STS-33 (Discovery), STS-43 (Atlantis), STS-58 (Columbia), STS-79/81 (Atlantis/Atlantis)",,
David R. Scott,1963,3,Retired,6/6/1932,"San Antonio, TX",San Antonio,29.4167,-98.5,Male,US Military Academy; MIT,,Aeronautics & Astronautics,Colonel,US Air Force (Retired),3,546,4,19,"Gemini 8, Apollo 9, Apollo 15",,
Edward H. White II ,1962,2,Deceased,11/14/1930,"San Antonio, TX",San Antonio,29.4167,-98.5,Male,US Military Academy; University of Michigan,,Aeronautical Engineering,Lieutenant Colonel,US Air Force,2,97,1,0.5,"Gemini 4, Apollo 1",1/27/1967,Apollo 1
Michael R. Clifford,1990,13,Retired,10/13/1952,"San Bernardino, CA",San Bernardino,34.1,-117.3,Male,US Military Academy; Georgia Institute of Technology,,Aerospace Engineering,Lieutenant Colonel,US Army (Retired),3,666,1,6,"STS-53 (Discovery), STS-59 (Endeavor), STS-76 (Atlantis)",,
Stanley G. Love,1998,17,Management,6/8/1965,"San Diego, CA",San Diego,32.715,-117.1625,Male,Harvey Mudd College; University of Washington,Physics,Astronomy,,,1,306,2,15,STS-122 (Atlantis),,
William C. McCool,1996,16,Deceased,9/23/1961,"San Diego, CA",San Diego,32.715,-117.1625,Male,US Naval Academy; University of Maryland; US Naval Postgraduate School,Naval Sciences,Computer Science; Aeronautical Engineering,Commander,US Navy,1,382,0,0,STS-107 (Columbia),2/1/2003,STS-107 (Columbia)
Michael J. McCulley,1984,10,Retired,8/4/1943,"San Diego, CA",San Diego,32.715,-117.1625,Male,Purdue University,Metallurgical Engineering,Metallurgical Engineering,Captain,US Navy (Retired),1,119,0,0,STS-34 (Atlantis),,
James H. Newman,1990,13,Retired,10/16/1956,"San Diego, CA",San Diego,32.715,-117.1625,Male,Dartmouth College; Rice University,Physics,Physics,,,4,1042,6,43,"STS-51 (Discovery), STS-69 (Endeavor), STS-88 (Endeavor), STS- 109 (Columbia)",,
John W. Young,1962,2,Retired,9/24/1930,"San Francisco, CA",San Francisco,37.7749295,-122.4194155,Male,Georgia Institute of Technology,Aeronautical Engineering,,Captain,US Navy (Retired),6,835,3,20,"Gemini 3, Gemini 10, Apollo 10, Apollo 16, STS-1 (Columbia), STS-9 (Columbia)",,
Franklin R. Chang-Diaz,1980,9,Retired,4/5/1950,"San Jose, Costa Rica",San Jose,9.9096,-84.0541,Male,University of Connecticut; MIT,Mechanical Engineering,Applied Plasma Physics,,,7,1602,3,19,"STS 61-C (Columbia), STS-34 (Atlantis), STS-46 (Atlantis), STS-60 (Discovery), STS-75 (Columbia), STS-91 (Discovery), STS-111 (Endeavor)",,
